uni_const_code,pre_ind_nota,post_ind_nota,nota_percoftotal
0|27|34,12.5,9.375,46.98594675
0|27|35,18.70503597,17.9044157,43.37324922
0|27|36,56.52173913,15.6758494,33.17171717
0|27|37,86.27276766,23.9237106,17.11198663
0|27|38,37.4863388,30.25201186,20.62394632
0|27|39,17.52380952,20.93234536,3.898362922
0|27|4,15.45293073,26.56440368,28.25064302
0|27|40,16.11893584,26.26601181,19.38673923
0|27|41,29.41176471,19.9095262,45.16811725
0|27|42,28.9893617,15.39438574,42.00448287
0|27|43,29.61538462,27.11397168,6.018765801
0|27|44,91.29342821,21.22173563,25.12378229
0|27|45,100,43.84800226,16.85686016
0|27|46,80.61538462,32.81735139,37.43708256
0|27|47,96.01198709,26.21564657,24.9178505
0|27|48,54.82233503,37.31022267,19.59134615
0|27|5,32.76450512,32.87234043,23.56243001
0|27|6,61.03379722,26.23123603,56.67198978
0|27|7,62.90207291,58.19765113,5.398964531
0|27|8,43.66812227,15.94999911,23.15961549
0|27|9,32.9764454,20.5050882,25.1122026
0|28|1,43.69538077,23.16742263,37.45718545
0|28|10,54.81927711,16.57332701,63.28903654
0|28|11,82.99319728,20.97953216,56.7251462
0|28|12,21.12211221,12.39035088,42.65827613
0|28|14,40.71428571,13.510564,62.73354287
0|28|15,33.15508021,11.03179753,67.06683971
0|28|16,46.22641509,16.48351648,56.30723443
0|28|17,18.59296482,19.98268023,28.44410767
0|28|18,46.70846395,24.68341683,40.87132751
0|28|19,35.11450382,16.01408235,52.42920557
0|28|20,67.9389313,11.53203766,60.16550258
0|28|21,23.36448598,12.68115942,78.93374741
0|28|22,49.51456311,9.140488656,62.7929444
0|28|23,61.29032258,10.14994395,66.44618834
0|28|24,49.80544747,20.55588644,66.24776653
0|28|3,100,24.11398077,54.84153495
0|28|4,42.85714286,12.63157895,40.43859649
0|28|5,57.2815534,18.39992532,81.60007468
0|28|6,55.70934256,19.61699073,44.26356083
0|28|7,100,14.08159752,67.44993401
0|28|8,46.49681529,11.41935184,67.58984121
0|28|9,100,13.87539809,55.75437898
0|29|1,47.60383387,17.71558918,42.66050963
0|29|10,40.49844237,28.56731639,19.13984938
0|29|11,26.910299,16.37515997,22.33022528
0|29|12,44.82758621,17.66686099,52.9634329
0|29|13,13.125,21.49067033,12.88311318
0|29|14,39.58333333,19.33028702,32.6303013
0|29|15,47.2027972,20.67820762,41.67626728
0|29|16,26.48648649,19.97453311,46.19694397
0|29|17,30.87719298,17.14703425,41.23329156
0|29|18,39.82683983,17.31946272,21.10829103
0|29|19,34.45783133,21.68570463,36.83812099
0|29|2,36.20253165,13.13137715,24.22483998
0|29|20,31.79916318,55.20462633,13.73593344
0|29|21,47.03557312,15.1299008,33.43882853
0|29|22,42.44306418,22.16367421,42.7140255
0|29|23,31.49350649,19.71174004,43.10272537
0|29|24,17.00879765,14.67032967,45.85164835
0|29|25,15.54770318,34.18613906,26.54642106
