uni_const_code,n_indnota_pre,n_indnota_post
0|9|5,5,3
0|9|50,4,5
0|9|51,13,4
0|9|52,18,6.5
0|9|53,6,4
0|9|54,8,3.5
0|9|55,11,2.5
0|9|56,2,3
0|9|57,13,5
0|9|58,3,5
0|9|59,12,4
0|9|6,11,4
0|9|60,3,3.5
0|9|61,4,4
0|9|62,9,6.5
0|9|63,7,8.5
0|9|64,15,2.5
0|9|65,6,2
0|9|66,2,3
0|9|67,7,2.5
0|9|68,5,4.5
0|9|69,8,6.5
0|9|7,7,5.5
0|9|70,5,5
0|9|71,11,4.5
0|9|72,8,4
0|9|73,3,6
0|9|74,6,4
0|9|75,4,3
0|9|76,4,3.5
0|9|77,6,15
0|9|78,3,6.5
0|9|79,11,5
0|9|8,3,5
0|9|80,1,3.5
0|9|9,11,5
1|10|1,7,6
1|10|10,1,5
1|10|100,4,8
1|10|101,5,6
1|10|102,4,3
1|10|103,5,4
1|10|104,7,5
1|10|105,15,8
1|10|106,17,8
1|10|107,6,3
1|10|108,7,5
1|10|109,9,6
1|10|11,4,9
1|10|110,7,9
1|10|111,9,9
1|10|112,13,6
1|10|113,10,6
1|10|114,16,8
1|10|115,6,3
1|10|116,7,4
1|10|117,19,5
1|10|118,13,10
1|10|119,3,6
1|10|12,11,6
1|10|120,8,8
1|10|121,3,6
1|10|122,4,6
1|10|123,14,8
1|10|124,4,8
1|10|125,4,6
1|10|126,18,10
1|10|127,12,8
1|10|128,6,5
1|10|129,8,9
1|10|13,6,2
1|10|130,3,9
1|10|131,1,4
1|10|132,9,3
1|10|133,3,4
1|10|134,6,5
1|10|135,6,8
1|10|136,2,2
1|10|137,4,8
1|10|138,1,3
1|10|139,,3
1|10|14,6,3
1|10|140,2,3
1|10|141,2,3
1|10|142,7,5
1|10|143,5,4
1|10|144,2,4
1|10|145,2,3
1|10|146,2,5
1|10|147,2,3
1|10|148,1,5
1|10|149,5,7
1|10|15,4,2
1|10|150,4,5
1|10|151,4,6
1|10|152,4,8
1|10|153,5,8
1|10|154,6,5
1|10|155,1,6
1|10|156,5,4
1|10|157,12,5
1|10|158,7,3
1|10|159,3,8
1|10|16,4,3
1|10|160,1,1
1|10|161,6,6
1|10|162,1,4
1|10|163,4,6
1|10|164,2,4
1|10|165,6,6
1|10|166,7,5
1|10|167,7,9
1|10|168,6,3
1|10|169,4,9
1|10|17,10,6
1|10|170,6,7
1|10|171,5,4
1|10|172,7,9
1|10|173,4,5
1|10|174,2,10
1|10|175,6,6
