uni_const_code,pre_ind_nota,post_ind_nota,nota_percoftotal,pre-post,post-pre,nota_vote_percentage,gen_state,state_id,n_indnota_pre,n_indnota_post,post-pre_ncand_nota,post-pre_ncand
0|22|11,60.08492569,26.47767443,60.65188822,33.60725126,-33.60725126,2.72,0,22,3,3,0,-1
0|22|2,48.26254826,19.52096042,36.2327321,28.74158784,-28.74158784,1.73,0,22,4,5.5,1.5,0.5
0|22|3,46.84684685,23.34009466,40.00450755,23.50675219,-23.50675219,1.26,0,22,5,6,1,0
0|22|4,30.00968054,26.32127328,25.64853556,3.68840726,-3.68840726,1.255,0,22,9,9,0,-1
0|22|5,22.89002558,23.50138228,9.798034096,-0.6113567,0.6113567,0.525,0,22,19,15.5,-3.5,-4.5
0|22|6,41.48020654,19.36161415,40.13707577,22.11859239,-22.11859239,2.12,0,22,9,6,-3,-4
0|22|7,80.37798777,27.49969937,17.70532708,52.8782884,-52.8782884,0.63,0,22,10,10,0,-1
0|22|8,17.46794872,19.48037457,11.14339083,-2.01242585,2.01242585,0.385,0,22,22,18,-4,-5
0|22|9,33.79310345,24.65676013,24.62896161,9.13634332,-9.13634332,1.31,0,22,7,13.5,6.5,5.5
0|23|1,13.63636364,24.61483608,14.74788418,-10.97847244,10.97847244,0.37,0,23,15,10,-5,-6
0|23|10,33.5978836,24.2121459,26.79790026,9.3857377,-9.3857377,0.785,0,23,6,6.5,0.5,-0.5
0|23|11,76.11367127,28.22780743,25.24559243,47.88586384,-47.88586384,1.095,0,23,5,8.5,3.5,2.5
0|23|13,50.44247788,23.74095774,18.03640171,26.70152014,-26.70152014,0.555,0,23,3,10,7,6
0|23|14,42.95774648,27.07253086,62.30246914,15.88521562,-15.88521562,2.22,0,23,5,3,-2,-3
0|23|15,27.84,43.23980706,12.11724914,-15.39980706,15.39980706,0.465,0,23,10,7.5,-2.5,-3.5
0|23|16,24.26686217,22.8311277,43.16819364,1.43573447,-1.43573447,1.965,0,23,20,7,-13,-14
0|23|17,38.63636364,22.72512069,47.69531877,15.91124295,-15.91124295,1.635,0,23,6,4.5,-1.5,-2.5
0|23|18,63.13364055,22.74487695,42.22840475,40.3887636,-40.3887636,0.84,0,23,2,6,4,3
0|23|19,18.06020067,12.49620253,43.0835443,5.56399814,-5.56399814,0.425,0,23,13,12,-1,-2
0|23|2,41.7989418,27.55883963,42.28243021,14.24010217,-14.24010217,0.62,0,23,6,5.5,-0.5,-1.5
0|23|20,51.63204748,28.15594059,42.27978832,23.47610689,-23.47610689,0.92,0,23,4,4,0,-1
